	p=324	p=576	p=900
n=30	-inf	-inf	-inf
n=50	-inf	-inf	-inf
n=100	-inf	-inf	-inf
n=200	-inf	-inf	-inf
n=500	-inf	-inf	-inf
n=750	-inf	-inf	-inf
n=1000	-inf	-inf	-inf
