	p=81	p=144	p=225
n=30	0.0	0.0	0.0
n=50	0.0	0.0	0.0
n=100	0.0	0.0	0.0
n=120	0.0	0.0	0.0
n=150	0.0	0.0	0.0
n=200	0.0	0.0	0.0
