	p=324	p=576	p=900
n=30	0.5603333333333333	0.5583333333333332	0.5753333333333334
n=50	0.5539999999999999	0.5496	0.5596
n=100	0.575	0.5577000000000001	0.5451
n=200	0.7051999999999999	0.68	0.62075
n=500	0.92836	0.96584	0.9769599999999998
n=750	0.9358533333333334	0.9763866666666666	0.98576
n=1000	0.94184	0.97895	0.9911
