	p=1296	p=2304	p=3600
n=100	0.536	0.5376	0.5369999999999999
n=200	0.5251	0.52585	0.5331
n=500	0.5377000000000001	0.5277000000000001	0.5273
n=1000	0.7956515151515151	nan	nan
n=1500	nan	nan	nan
n=2000	nan	nan	nan
n=5000	nan	nan	nan
