	p=1296	p=2304	p=3600
n=100	-inf	-inf	-inf
n=200	-inf	-inf	-inf
n=500	-inf	-inf	-inf
n=1000	-inf	nan	nan
n=1500	nan	nan	nan
n=2000	nan	nan	nan
n=5000	nan	nan	nan
