	p=324	p=576	p=900
n=30	5.346815016298792	7.684570494068405	9.925651927514254
n=50	5.095578124376121	7.159306676885861	8.988187996881734
n=100	4.737418877292168	6.498257817036838	8.212841208803207
n=200	4.495543725172638	6.092535142382662	7.599331268924994
n=500	4.396338607524539	5.831041276659464	7.277758578448404
n=750	4.298582614607457	5.797055279381546	7.200396573808113
n=1000	4.31245570138968	5.7715724000553905	7.215244285122181
