	p=81	p=144	p=225
n=30	-403.9542659073543	-inf	-inf
n=50	-452.1516748287522	-inf	-inf
n=100	-422.97260914516005	-inf	-inf
n=120	-410.8597903997943	-inf	-inf
n=150	-390.29556926776706	-inf	-inf
n=200	-345.199870770357	-inf	-inf
