	p=1296	p=2304	p=3600
n=100	0.0	0.0	0.0
n=200	0.0	0.0	0.0
n=500	0.0	0.0	0.0
n=1000	0.0	0.0	0.0
n=1500	0.0	0.0	0.0
n=2000	0.0	0.0	0.0
n=5000	0.0	0.0	0.0
