	p=20	p=36	p=56
n=30	0.8126666666666666	0.8836666666666667	0.8920000000000001
n=50	0.8828	0.9448000000000001	0.9738
n=100	0.9175	0.9767	0.9937
n=120	0.9216666666666667	0.9784166666666665	0.9947500000000001
n=150	0.9308666666666666	0.9824666666666667	0.9940666666666668
