	p=1296	p=2304	p=3600
n=100	5.0792407523704775	7.812829692706271	10.15619271132659
n=200	5.0365257844138736	7.031481181753897	8.948229865119355
n=500	4.689800321673749	6.3094268448310125	7.926027978746939
n=1000	4.448875501052392	nan	nan
n=1500	nan	nan	nan
n=2000	nan	nan	nan
n=5000	nan	nan	nan
