	p=81	p=144	p=225
n=30	0.16	0.58	0.96
n=50	0.24	0.84	1.0
n=100	0.52	1.0	1.0
n=120	0.62	1.0	1.0
n=150	0.64	1.0	1.0
n=200	0.66	1.0	1.0
