	p=1296	p=2304	p=3600
n=100	0.0	0.0	0.0
n=200	0.0	0.0	0.48
n=500	0.0	0.92	1.0
n=1000	0.02	1.0	1.0
n=1500	0.38	1.0	1.0
n=2000	0.58	1.0	1.0
n=5000	0.94	1.0	1.0
