	p=324	p=576	p=900
n=30	0.0	0.04	0.38
n=50	0.04	0.4	0.92
n=100	0.26	0.98	1.0
n=200	0.82	1.0	1.0
n=500	1.0	1.0	1.0
n=750	1.0	1.0	1.0
n=1000	1.0	1.0	1.0
