	p=324	p=576	p=900
n=30	5.4761781082317125	7.726564427313948	9.935947417368139
n=50	5.182249330987918	7.05707913738758	9.008834734662004
n=100	4.755331612537426	6.464866611517791	8.22623146867872
n=200	4.558434139358573	6.07380199864559	7.5973576315271805
n=500	4.324300396176426	5.817717881911803	7.167710679868036
n=750	4.309093200676406	5.787625246690904	7.20096513228501
n=1000	4.3132855494707165	5.674891013395312	7.179846799610617
