	p=1296	p=2304	p=3600
n=100	0.0	0.0	0.0
n=200	0.0	0.0	0.72
n=500	0.0	1.0	1.0
n=1000	0.74	1.0	1.0
n=1500	1.0	1.0	1.0
n=2000	0.98	1.0	1.0
n=5000	1.0	1.0	1.0
