	p=81	p=144	p=225
n=30	0.12	0.5	0.94
n=50	0.22	0.8	1.0
n=100	0.46	1.0	1.0
n=120	0.52	1.0	1.0
n=150	0.44	1.0	1.0
n=200	0.64	1.0	1.0
