	p=81	p=144	p=225
n=30	0.22	0.58	0.98
n=50	0.28	0.86	1.0
n=100	0.68	1.0	1.0
n=120	0.7	1.0	1.0
n=150	0.84	1.0	1.0
n=200	0.88	1.0	1.0
