	p=324	p=576	p=900
n=30	0.0	0.02	0.06
n=50	0.0	0.06	0.5
n=100	0.06	0.82	1.0
n=200	0.52	1.0	1.0
n=500	0.98	1.0	1.0
n=750	0.98	1.0	1.0
n=1000	1.0	1.0	1.0
