	p=81	p=144	p=225
n=30	0.38	0.92	1.0
n=50	0.56	0.96	1.0
n=100	0.92	1.0	1.0
n=120	0.9	1.0	1.0
n=150	0.96	1.0	1.0
n=200	0.98	1.0	1.0
