	p=324	p=576	p=900
n=30	0.0	0.0	0.04
n=50	0.0	0.04	0.48
n=100	0.0	0.68	1.0
n=200	0.3	0.98	1.0
n=500	0.94	1.0	1.0
n=750	0.98	1.0	1.0
n=1000	1.0	1.0	1.0
