	p=1296	p=2304	p=3600
n=100	5.317091203895441	7.7974811784089	10.210719120760995
n=200	5.040517952899144	7.052857116764167	9.006310188887221
n=500	4.653944140050073	6.31365163148474	7.941368892559911
n=1000	4.482811327571255	6.037797987615837	7.503137195265035
n=1500	4.38198715230927	5.879435045513341	7.394525948447031
n=2000	4.332432749183162	5.864725113490515	7.251006095667667
n=5000	4.288608263973433	5.722360845602419	7.1653053528293205
