	p=81	p=144	p=225
n=30	0.26	0.66	0.98
n=50	0.38	0.9	1.0
n=100	0.76	1.0	1.0
n=120	0.8	1.0	1.0
n=150	0.9	1.0	1.0
n=200	0.92	1.0	1.0
